X,Y,Hue,Size,chart_type,title,x-title,y-title
87,65,light rain,19,Bubble Plot,rainfall condition in chennai,temperaturelfy,humidity
88,66,light rain,20
85,67,light rain,17
85,68,light rain,17
83,77,rain heavy,15
83,77,rain heavy,15
89,63,light rain,22
82,79,rain heavy,13
82,79,rain heavy,12
85,74,light rain,19
85,72,light rain,19
84,76,rain heavy,18
82,75,rain heavy,14
82,77,light rain,13
80,80,rain heavy,12
80,83,rain heavy,11
79,83,light rain,10
78,87,rain heavy,8
78,88,rain heavy,7
