X,Y,Hue,Size,chart_type,title,x-title,y-title
46,5,developed less,18,Bubble Plot,lower secondary class statistics,poorest wealth quintile,richest wealth quintile
45,4,least,22
43,12,least,27
33,3,least,23
38,9,least,22
40,15,least,24
28,6,developed less,20
16,3,developed less,19
8,1,developed less,13
7,1,developed less,13
15,2,developed less,17
12,4,developed less,16
16,1,developed less,15
12,2,developed less,15
6,2,developed less,15
6,4,developed less,14
10,1,developed less,13
5,0,more,12
0,0,developed less,10
15,2,developed less,17
15,2,least,17
