X,Y,Hue,Size,chart_type,title,x-title,y-title
89,86,high school,22,Bubble Plot,student score statistics,reading score percentage,writing score percentage
90,87,associatels,27
72,65,high school,14
70,65,high school,14
69,63,high school,17
72,65,high school,14
70,65,high school,14
69,63,high school,17
81,79,associatels,20
54,57,associatels,15
56,57,associatels,13
71,80,bachelors,19
81,83,associatels,19
70,75,masters,14
69,75,bachelors,16
74,72,masters,18
73,68,associatels,13
65,62,associatels,12
61,54,associatels,12
58,61,associatels,12
58,65,associatels,11
56,54,associatels,10
42,46,masters,7
72,65,high school,14
72,65,masters,14
72,65,high school,14
72,65,masters,14
