X,Y,Hue,Size,chart_type,title,x-title,y-title
73,88,rain heavy,21,Bubble Plot,rainfall condition in chennai,temperature,cloud
65,88,rain heavy,21
65,84,rain heavy,14
66,84,light rain,14
66,87,rain heavy,20
40,86,rain heavy,20
50,87,rain heavy,20
51,85,rain heavy,14
50,85,rain heavy,11
36,86,rain heavy,20
80,88,rain heavy,22
31,86,light rain,19
59,86,rain heavy,19
35,87,rain heavy,18
30,85,light rain,18
28,85,light rain,17
27,84,light rain,16
47,84,light rain,16
64,83,light rain,13
41,83,light rain,12
85,83,light rain,13
60,82,light rain,11
80,82,light rain,12
39,82,light rain,11
19,82,light rain,10
