X,Y,Hue,Size,chart_type,title,x-title,y-title
8,27,least,18,Bubble Plot,lower secondary class statistics,urban residence,rural residence
8,26,least,18
8,27,least,18
8,26,least,18
18,36,less developed,21
23,45,least,21
20,26,least,20
7,11,least,12
8,11,less developed,13
7,11,least,12
8,11,less developed,13
7,11,least,12
8,11,less developed,13
14,29,least,18
11,20,less developed,16
10,13,less developed,15
3,7,less developed,11
3,6,less developed,10
3,7,less developed,11
3,6,less developed,10
4,8,less developed,12
5,6,less developed,11
5,4,less developed,10
2,4,less developed,10
4,2,less developed,10
0,2,more,8
0,0,less developed,7
4,8,less developed,12
