X,Y,Hue,Size,chart_type,title,x-title,y-title
127306,207,asia,19,Bubble Plot,covid statistics on oct 2021,total cases,total deaths
147232,1179,europe,18
127306,207,asia,19
147232,1179,europe,18
521402,21852,europe,22
402952,5298,europe,17
402952,5298,europe,17
387454,6114,america south,11
364207,2733,europe,20
192620,946,europe,19
423985,12798,europe,19
543542,6736,america north,18
4428,130,oceania,17
467159,7319,america north,16
416236,8834,europe,14
305535,7085,europe,14
632103,9339,asia,14
324354,1528,asia,11
239114,11010,europe,11
85240,2073,america north,10
271218,5648,asia,9
350923,5298,europe,8
127306,3588,africa,7
