X,Y,Catogery,chart_type,title,x-title,y-title
41.53,188.23,_,Simple Scatter,scatter plot,xaxis,x axis
51.69,86.22,_
54.08,84.41,_
57.07,83.2,_
67.23,177.36,_
81.57,190.04,_
83.37,97.69,_
92.33,83.8,_
105.48,174.35,_
106.08,103.72,_
125.2,185.21,_
141.33,162.27,_
141.33,148.99,_
145.52,110.97,_
145.52,124.85,_
150.3,173.14,_
151.49,97.69,_
168.23,124.85,_
170.62,133.9,_
190.34,127.87,_
191.53,111.57,_
191.53,144.16,_
215.44,127.87,_
223.21,138.73,_
232.17,110.97,_
239.34,112.78,_
245.32,147.79,_
250.1,144.16,_
261.45,136.92,_
263.25,101.91,_
265.04,153.82,_
269.22,84.41,_
284.16,96.48,_
292.53,164.08,_
294.32,153.82,_
307.47,79.58,_
309.26,99.5,_
321.22,174.95,_
330.18,77.77,_
337.95,192.45,_
345.12,77.77,_
360.06,176.16,_
