X,Y,Catogery,chart_type,title,x-title,y-title
7.97,241.35,_,Simple Scatter,position of muscle caveolae,_,_
14.49,130.29,_
14.49,112.98,_
16.67,37.98,_
21.01,270.19,_
23.19,150.48,_
27.54,287.5,_
32.97,25.0,_
36.23,418.75,_
36.23,176.44,_
40.58,472.12,_
46.01,327.88,_
47.1,48.08,_
52.54,79.81,_
55.8,221.15,_
56.88,185.1,_
59.06,464.9,_
59.06,111.54,_
65.58,336.54,_
74.28,162.02,_
75.36,369.71,_
77.54,30.77,_
79.71,58.17,_
84.06,147.6,_
84.06,212.5,_
85.14,398.56,_
87.32,490.87,_
94.93,131.73,_
97.1,417.31,_
98.19,343.75,_
101.45,362.5,_
105.8,125.96,_
110.14,40.87,_
110.14,195.19,_
110.14,446.15,_
111.23,97.12,_
114.49,375.48,_
123.19,349.52,_
124.28,63.94,_
131.88,487.98,_
135.14,225.48,_
136.23,447.6,_
136.23,125.96,_
142.75,369.71,_
144.93,192.31,_
147.1,336.54,_
152.54,39.42,_
153.62,482.21,_
163.41,500.96,_
164.49,71.15,_
169.93,219.71,_
172.1,369.71,_
173.19,479.33,_
178.62,392.79,_
180.8,22.12,_
184.06,144.71,_
184.06,288.94,_
185.14,392.79,_
189.49,397.12,_
194.93,352.4,_
194.93,84.13,_
197.1,183.65,_
207.97,317.79,_
211.23,300.48,_
212.32,262.98,_
224.28,49.52,_
224.28,490.87,_
224.28,275.96,_
226.45,150.48,_
226.45,319.23,_
231.88,301.92,_
239.49,157.69,_
239.49,369.71,_
240.58,16.35,_
242.75,296.15,_
255.8,464.9,_
256.88,287.5,_
265.58,231.25,_
267.75,316.35,_
268.84,26.44,_
271.01,427.4,_
272.1,294.71,_
273.19,495.19,_
278.62,74.04,_
278.62,173.56,_
280.8,112.98,_
285.14,335.1,_
291.67,284.62,_
292.75,447.6,_
302.54,85.58,_
303.62,389.9,_
305.8,140.38,_
311.23,84.13,_
316.67,95.67,_
317.75,369.71,_
318.84,130.29,_
322.1,35.1,_
325.36,346.63,_
327.54,71.15,_
327.54,391.35,_
330.8,46.63,_
332.97,485.1,_
334.06,404.33,_
335.14,262.98,_
337.32,323.56,_
349.28,378.37,_
356.88,301.92,_
356.88,281.73,_
357.97,369.71,_
357.97,437.5,_
364.49,164.9,_
366.67,401.44,_
366.67,323.56,_
368.84,428.85,_
369.93,234.13,_
379.71,16.35,_
382.97,436.06,_
385.14,343.75,_
393.84,120.19,_
398.19,202.4,_
400.36,433.17,_
406.88,408.65,_
413.41,87.02,_
416.67,203.85,_
417.75,274.52,_
419.93,449.04,_
430.8,248.56,_
432.97,352.4,_
441.67,299.04,_
442.75,108.65,_
449.28,462.02,_
449.28,404.33,_
459.06,218.27,_
472.1,451.92,_
473.19,500.96,_
484.06,270.19,_
489.49,22.12,_
497.1,477.88,_
497.1,180.77,_
