X,Y,Catogery,chart_type,title,x-title,y-title
19.98,0.96,nonfiction,Scatter,books read in january,person id,books
19.98,1.93,nonfiction
19.98,2.93,nonfiction
20.0,1.16,nonfiction
20.0,2.12,nonfiction
20.0,3.13,nonfiction
21.01,1.04,nonfiction
22.0,1.04,nonfiction
22.0,2.01,nonfiction
23.0,1.04,nonfiction
23.0,4.01,nonfiction
23.0,3.01,nonfiction
23.0,2.01,nonfiction
24.01,2.01,nonfiction
24.01,1.04,nonfiction
25.02,1.04,nonfiction
25.02,4.01,nonfiction
25.02,2.01,nonfiction
25.02,3.01,nonfiction
26.0,1.04,nonfiction
27.01,1.04,nonfiction
27.01,4.01,nonfiction
27.01,2.01,nonfiction
27.01,3.01,nonfiction
27.01,5.02,nonfiction
20.0,5.02,fiction
20.0,6.02,fiction
20.0,4.01,fiction
20.0,7.02,fiction
21.01,3.01,fiction
21.01,6.02,fiction
21.01,4.01,fiction
21.01,5.02,fiction
21.01,2.01,fiction
22.0,3.01,fiction
22.0,6.02,fiction
22.0,5.02,fiction
22.0,4.01,fiction
23.0,5.02,fiction
23.0,6.02,fiction
24.01,3.01,fiction
24.01,4.01,fiction
24.01,5.02,fiction
25.02,12.0,fiction
25.02,9.99,fiction
25.02,8.99,fiction
25.02,8.03,fiction
25.02,11.0,fiction
25.02,14.01,fiction
25.02,6.02,fiction
25.02,13.0,fiction
25.02,5.02,fiction
25.02,7.02,fiction
26.0,3.01,fiction
26.0,2.01,fiction
27.01,7.02,fiction
27.01,6.02,fiction
